"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          21,       -6.18443935,      -6.301439292,      -6.249414605,      -5.643455136,      -8.002402929,     -0.8071226022,       21.58160815,       8.635868514,                 0,                 0,                 0,       3.153519684,       19.41548861,       12.78212962,                 0,      0.4001494445,    0.008509893406
          0,           0,          22,      -6.228541675,      -6.343669035,      -6.293301411,      -5.686394736,      -8.042578899,     -0.8899935312,       21.46818664,       8.659443685,                 0,                 0,                 0,          3.156489,       19.29964355,        12.7825178,                 0,      0.4033616732,    0.008509893406
          0,           0,          23,      -6.281306743,      -6.393707013,      -6.345455491,      -5.738016563,      -8.083993556,     -0.9763004424,       21.33034306,       8.665878514,                 0,                 0,                 0,       3.153368256,       19.16330286,       12.76122287,                 0,      0.4062700017,    0.008509893406
          0,           0,          24,      -6.342185596,      -6.451583239,      -6.404970046,      -5.797885737,      -8.126625596,      -1.090129715,       21.18025679,       8.661164091,                 0,                 0,                 0,        3.14625771,       19.01719971,       12.72655319,                 0,      0.4089263023,    0.008509893406
          0,           0,          25,      -6.407709303,      -6.514187088,      -6.467939126,      -5.862662689,      -8.170452912,      -1.222511644,       21.03030613,       8.652697622,                 0,                 0,                 0,       3.137914384,       18.87198068,       12.68823459,                 0,      0.4114394517,    0.008509893406
          0,           0,          26,      -6.470117477,      -6.574607421,      -6.525764084,      -5.924698365,      -8.215452923,       -1.33712536,       20.89112919,       8.647475719,                 0,                 0,                 0,       3.130955173,       18.73666757,       12.65525201,                 0,      0.4139305081,    0.008509893406
          0,           0,          27,       -6.51690407,      -6.620568155,      -6.566385482,      -5.971412162,      -8.261602854,      -1.403503327,       20.77008531,       8.650386774,                 0,                 0,                 0,       3.127091781,       18.61749193,       12.63386835,                 0,       0.416482968,    0.008509893406
          0,           0,          28,      -6.539252451,      -6.642629803,      -6.582901494,      -5.993334388,       -8.30887998,       -1.45929062,       20.66949311,       8.663137699,                 0,                 0,                 0,       3.126703913,       18.51638366,        12.6262202,                 0,       0.419126761,    0.008509893406
          0,           0,          29,       -6.53927726,      -6.642293651,      -6.579077904,       -5.99119944,      -8.357261855,      -1.553731303,       20.58504388,       8.684222243,                 0,                 0,                 0,       3.128907125,       18.42942288,       12.62996911,                 0,      0.4218704752,    0.008509893406
          0,           0,          30,      -6.524199731,      -6.627632023,      -6.562431515,      -5.970496301,      -8.406726471,      -1.669380583,       20.50587758,       8.709958749,                 0,                 0,                 0,       3.132039833,       18.34670663,       12.63933354,                 0,      0.4247542547,    0.008509893406
          0,           0,          31,      -6.497807129,      -6.603838923,      -6.536892691,      -5.934155292,       -8.45725242,      -1.770658482,        20.4170792,       8.736123974,                 0,                 0,                 0,       3.134292939,       18.25446751,       12.64718945,                 0,      0.4278831409,    0.008509893406
          0,           0,          32,      -6.461433582,      -6.571937855,      -6.503543755,      -5.885126529,      -8.508819035,      -1.837411572,       20.30368042,       8.759312937,                 0,                 0,                 0,       3.134164961,       18.13872205,        12.6472038,                 0,      0.4314150319,    0.008509893406
