1.0000	0.0024
0.9955	0.0101
0.9845	0.0156
0.9517	0.0291
0.9050	0.0450
0.8547	0.0607
0.8068	0.0737
0.7525	0.0875
0.7033	0.0984
0.6532	0.1083
0.6078	0.1161
0.5471	0.1246
0.4974	0.1296
0.4480	0.1332
0.3981	0.1360
0.3497	0.1372
0.2952	0.1354
0.2453	0.1305
0.1943	0.1216
0.1491	0.1102
0.0997	0.0920
0.0537	0.0690
0.0350	0.0565
0.0154	0.0393
0.0049	0.0255
0.0000	0.0102
0.0012	0.0018
0.0109	-0.0128
0.0302	-0.0275
0.0619	-0.0424
0.0683	-0.0448
0.0899	-0.0515
0.1152	-0.0577
0.1444	-0.0631
0.1860	-0.0684
0.2410	-0.0720
0.2931	-0.0734
0.3499	-0.0722
0.4019	-0.0697
0.4499	-0.0663
0.5005	-0.0628
0.5488	-0.0588
0.6039	-0.0543
0.6431	-0.0506
0.7006	-0.0453
0.7501	-0.0406
0.8013	-0.0355
0.8433	-0.0311
0.9010	-0.0247
0.9326	-0.0208
0.9639	-0.0156
0.9841	-0.0095
0.9930	-0.0070
1.0000	0.0024
