1.0000	0.0180
0.9854	0.0258
0.9549	0.0430
0.9105	0.0629
0.8540	0.0837
0.8062	0.0986
0.7542	0.1133
0.6968	0.1284
0.6523	0.1390
0.5999	0.1499
0.5510	0.1586
0.5044	0.1652
0.4472	0.1714
0.3941	0.1747
0.3443	0.1753
0.2989	0.1732
0.2488	0.1675
0.1951	0.1559
0.1468	0.1419
0.1025	0.1241
0.0590	0.1000
0.0406	0.0858
0.0363	0.0819
0.0265	0.0719
0.0174	0.0609
0.0081	0.0457
0.0032	0.0334
0.0004	0.0183
0.0014	0.0069
0.0066	-0.0065
0.0161	-0.0194
0.0307	-0.0332
0.0476	-0.0454
0.0693	-0.0576
0.0753	-0.0606
0.0956	-0.0688
0.1190	-0.0758
0.1468	-0.0818
0.1930	-0.0873
0.2458	-0.0904
0.3018	-0.0912
0.3471	-0.0902
0.3963	-0.0883
0.4452	-0.0850
0.4960	-0.0809
0.5482	-0.0756
0.5956	-0.0708
0.6500	-0.0643
0.6959	-0.0584
0.7544	-0.0501
0.7986	-0.0436
0.8453	-0.0360
0.8995	-0.0267
0.9250	-0.0217
0.9613	-0.0138
0.9819	-0.0080
0.9967	0.0006
1.0012	0.0051
1.0000	0.0180
