1.0000	0.0018
0.9956	0.0112
0.9813	0.0171
0.9448	0.0307
0.8976	0.0454
0.8477	0.0594
0.7970	0.0719
0.7480	0.0825
0.6912	0.0925
0.6460	0.0993
0.5956	0.1054
0.5356	0.1111
0.4900	0.1141
0.4488	0.1160
0.3941	0.1169
0.3437	0.1157
0.2890	0.1113
0.2394	0.1052
0.1897	0.0959
0.1477	0.0854
0.1044	0.0700
0.0619	0.0506
0.0391	0.0375
0.0176	0.0217
0.0037	0.0058
0.0001	-0.0087
0.0006	-0.0134
0.0098	-0.0284
0.0229	-0.0399
0.0364	-0.0482
0.0555	-0.0565
0.0962	-0.0669
0.1202	-0.0699
0.1451	-0.0718
0.1934	-0.0737
0.2500	-0.0735
0.2844	-0.0726
0.3479	-0.0704
0.3930	-0.0683
0.4464	-0.0654
0.4981	-0.0623
0.5401	-0.0595
0.5925	-0.0557
0.6449	-0.0514
0.6920	-0.0477
0.7383	-0.0436
0.7945	-0.0383
0.8516	-0.0321
0.8951	-0.0273
0.9237	-0.0236
0.9532	-0.0193
0.9774	-0.0143
0.9930	-0.0120
1.0000	0.0018
